tier,arbitrage,transform,index,best_lag,r,spearman,n,n_eff,p_bartlett,q_bh,p_surrogate_lag,p_max_surrogate,ci_block_lo,ci_block_hi,sur_max_q95,n_lags_sig_bartlett_05,n_lags_sig_bh_10,best_pos_lag,r_best_pos_lag,p_bartlett_best_pos,q_bh_best_pos,q_bh_global
tier1,ICO indicator premium (1960→),level,ONI,15,-0.215747014813577,-0.20179771510174382,545,65.2,0.08387961162918622,0.6214706307860057,0.11,0.38,-0.3904650446271195,-0.022067302297350908,0.34931246011433115,0,0,15,-0.215747014813577,0.08387961162918622,0.6214706307860057,0.09935911565599605
tier1,ICO indicator premium (1960→),level,Niño 3.4,15,-0.15752468036842712,-0.14947296843986235,525,65.8,0.20805850399222026,0.7394550203116349,0.28,0.81,-0.3580464803080193,0.058954107010776816,0.32038832670511425,0,0,15,-0.15752468036842712,0.20805850399222026,0.7394550203116349,0.21137842019144296
tier1,ICO indicator premium (1960→),level,−SOI,12,-0.13501120580972273,-0.10355193962195984,800,125.6,0.1325080572235009,0.8389839154779744,0.17,0.62,-0.2863681705569431,0.03583146545102153,0.2390982502290057,0,0,12,-0.13501120580972273,0.1325080572235009,0.8389839154779744,0.14299430635629617
tier1,ICO indicator premium (1960→),level,ONI⁺,11,-0.18008299221669763,-0.18062195415486812,549,84.9,0.09938798732404486,0.6279607526522313,0.09,0.44,-0.35062849907537175,0.005004109808319876,0.30325246120077126,0,0,11,-0.18008299221669763,0.09938798732404486,0.6279607526522313,0.11209171502711826
tier1,ICO indicator premium (1960→),level,ONI⁻,16,-0.21202503608620518,-0.18665686041539292,544,54.9,0.12095842304526694,0.9604273081507031,0.18,0.54,-0.37654871217168745,-0.0208848512484254,0.3436771511967666,0,0,16,-0.21202503608620518,0.12095842304526694,0.9604273081507031,0.13243622961160614
tier1,ICO indicator premium (1960→),diff1,ONI,0,-0.10898112042767379,-0.09511726625010182,558,250.1,0.0854488394641566,0.5537772922067238,0.09,0.48,-0.20314901916995948,-0.008912519751676614,0.17640803612576458,0,0,0,-0.10898112042767379,0.0854488394641566,0.5537772922067238,0.09935911565599605
tier1,ICO indicator premium (1960→),diff1,Niño 3.4,-20,0.12408681254963352,0.08565746884840554,540,260.4,0.04538510039340116,0.5692662292858561,0.06,0.48,-0.019890925888684994,0.22976992560142026,0.1789989208995957,1,0,0,-0.10826688065057925,0.08130471302108555,0.5692662292858561,0.08705688012320939
tier1,ICO indicator premium (1960→),diff1,−SOI,-18,0.09278294756345074,0.09253829703569359,780,539.2,0.031194246788894597,0.7108026482660059,0.03,0.64,0.006505049328322909,0.17353924325523226,0.1302500404884837,1,0,2,-0.062345198213586264,0.14442366429411013,0.7108026482660059,0.08692634676617392
tier1,ICO indicator premium (1960→),diff1,ONI⁺,-22,0.13709831676459452,0.0858567112088785,558,266.8,0.02503436681555571,0.33661679182801585,0.02,0.25,0.022660390038675066,0.23443460885912862,0.17020461084775984,5,0,4,-0.11555649634442422,0.06671840211865399,0.33661679182801585,0.08692634676617392
tier1,ICO indicator premium (1960→),diff1,ONI⁻,12,-0.08408044403430573,-0.005419030103856354,548,277.4,0.1626584093824497,0.9894886894238033,0.11,0.85,-0.20498409118947597,0.04452494896614522,0.16461386443651893,0,0,12,-0.08408044403430573,0.1626584093824497,0.9894886894238033,0.17062070914242974
