phase,onset,end,n_months,peak,peak_month
el_nino,1982-05,1983-06,14,2.14,1983-01
la_nina,1983-10,1984-02,5,-0.96,1983-11
la_nina,1984-10,1985-06,9,-1.06,1984-12
el_nino,1986-09,1988-01,17,1.49,1987-09
la_nina,1988-05,1989-05,13,-1.85,1988-12
el_nino,1991-06,1992-06,13,1.54,1992-01
el_nino,1994-10,1995-02,5,0.97,1994-12
la_nina,1995-08,1996-03,8,-1.05,1995-11
el_nino,1997-05,1998-04,12,2.37,1997-12
la_nina,1998-07,2000-06,24,-1.53,1999-12
la_nina,2000-10,2001-02,5,-0.78,2000-12
el_nino,2002-07,2003-02,8,1.19,2002-11
el_nino,2004-08,2005-02,7,0.71,2004-12
la_nina,2005-11,2006-03,5,-0.86,2006-01
el_nino,2006-09,2007-01,5,0.88,2006-11
la_nina,2007-08,2008-06,11,-1.76,2008-01
la_nina,2008-11,2009-03,5,-0.89,2009-01
el_nino,2009-07,2010-03,9,1.5,2009-12
la_nina,2010-06,2011-05,12,-1.57,2010-11
la_nina,2011-08,2012-02,7,-1.02,2011-11
el_nino,2014-10,2016-05,20,2.59,2015-12
la_nina,2017-11,2018-03,5,-0.76,2017-12
el_nino,2018-09,2019-06,10,1.05,2018-12
el_nino,2019-10,2020-03,6,0.75,2019-12
la_nina,2020-09,2021-04,8,-1.11,2020-11
la_nina,2021-09,2023-01,17,-0.91,2021-11
el_nino,2023-06,2024-04,11,1.99,2023-12
