h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0
1,1,-0.05901774047108155,-0.05901774047108155,-0.05901774047108155,-0.05901774047108155,-0.05901774047108155,-0.05901774047108155,1.0,,,-0.11894428198796347,0.11873148690425295,0.06386483240860459,0.4505
2,1,-0.0752875020215113,-0.0752875020215113,-0.0752875020215113,-0.0752875020215113,-0.0752875020215113,-0.0752875020215113,1.0,,,-0.19051054995497108,0.17600536095055214,0.09837677889882662,0.5375
3,1,-0.06141320242532,-0.06141320242532,-0.06141320242532,-0.06141320242532,-0.06141320242532,-0.06141320242532,1.0,,,-0.24952829042605262,0.2478432992971769,0.12306482453625281,0.624
4,1,-0.017607747661887163,-0.017607747661887163,-0.017607747661887163,-0.017607747661887163,-0.017607747661887163,-0.017607747661887163,1.0,,,-0.2865135462962195,0.28120597065130293,0.15282000188092568,0.795
5,1,0.055815828027430237,0.055815828027430237,0.055815828027430237,0.055815828027430237,0.055815828027430237,0.055815828027430237,1.0,,,-0.33704491593069286,0.3530439089979277,0.17447375440105511,0.8075
6,1,0.03708654872412526,0.03708654872412526,0.03708654872412526,0.03708654872412526,0.03708654872412526,0.03708654872412526,1.0,,,-0.3533146774811226,0.3564867671488271,0.18165648347555235,0.7595
7,1,-0.07467649991390524,-0.07467649991390524,-0.07467649991390524,-0.07467649991390524,-0.07467649991390524,-0.07467649991390524,1.0,,,-0.3394403778849313,0.36381453602623015,0.18857259883989155,0.631
8,1,-0.11219287622030377,-0.11219287622030377,-0.11219287622030377,-0.11219287622030377,-0.11219287622030377,-0.11219287622030377,1.0,,,-0.29563492312149847,0.409648638549252,0.201515482474996,0.561
9,1,-0.16529071092394426,-0.16529071092394426,-0.16529071092394426,-0.16529071092394426,-0.16529071092394426,-0.16529071092394426,1.0,,,-0.2651870498688763,0.48489041829790264,0.21765553337399904,0.5015
10,1,-0.1689768857997633,-0.1689768857997633,-0.1689768857997633,-0.1689768857997633,-0.1689768857997633,-0.1689768857997633,1.0,,,-0.30270342617527485,0.5567283566445275,0.24210216827294637,0.4695
11,1,-0.14399426548687502,-0.14399426548687502,-0.14399426548687502,-0.14399426548687502,-0.14399426548687502,-0.14399426548687502,1.0,,,-0.35580126087891534,0.5030482332107107,0.2707693204093586,0.4625
12,1,-0.19358648621133132,-0.19358648621133132,-0.19358648621133132,-0.19358648621133132,-0.19358648621133132,-0.19358648621133132,1.0,,,-0.3927865167490822,0.5551357795145385,0.29052048104302575,0.4025
13,1,-0.19898108148664473,-0.19898108148664473,-0.19898108148664473,-0.19898108148664473,-0.19898108148664473,-0.19898108148664473,1.0,,,-0.44331788638355557,0.5550607316735132,0.30350624673130894,0.373
14,1,-0.2169986464115541,-0.2169986464115541,-0.2169986464115541,-0.2169986464115541,-0.2169986464115541,-0.2169986464115541,1.0,,,-0.44700406125937464,0.5453579837083286,0.31362251746298453,0.3695
15,1,-0.27889171617917125,-0.27889171617917125,-0.27889171617917125,-0.27889171617917125,-0.27889171617917125,-0.27889171617917125,1.0,,,-0.4220214409464863,0.5826856210702956,0.32784747481764537,0.3695
16,1,-0.20705377783254647,-0.20705377783254647,-0.20705377783254647,-0.20705377783254647,-0.20705377783254647,-0.20705377783254647,1.0,,,-0.47161366167094265,0.5760022189604816,0.34962772689422583,0.4025
17,1,-0.11117064327582765,-0.11117064327582765,-0.11117064327582765,-0.11117064327582765,-0.11117064327582765,-0.11117064327582765,1.0,,,-0.47700825694625604,0.5141091491928644,0.36193209892410144,0.509
18,1,-0.031048416881994334,-0.031048416881994334,-0.031048416881994334,-0.031048416881994334,-0.031048416881994334,-0.031048416881994334,1.0,,,-0.5063875220043093,0.49767555020570736,0.3672179535461856,0.473
19,1,-0.01674949111551155,-0.01674949111551155,-0.01674949111551155,-0.01674949111551155,-0.01674949111551155,-0.01674949111551155,1.0,,,-0.5569188916387826,0.5422545560521528,0.36774242673613483,0.442
20,1,0.07415219281875646,0.07415219281875646,0.07415219281875646,0.07415219281875646,0.07415219281875646,0.07415219281875646,1.0,,,-0.4850809532921578,0.48056289873820407,0.34562292533414385,0.4125
21,1,0.07759505096965585,0.07759505096965585,0.07759505096965585,0.07759505096965585,0.07759505096965585,0.07759505096965585,1.0,,,-0.38919781873543896,0.4623439213596262,0.33583500796513605,0.353
22,1,0.0849228198470589,0.0849228198470589,0.0849228198470589,0.0849228198470589,0.0849228198470589,0.0849228198470589,1.0,,,-0.39918117477759296,0.5268599609899605,0.3502081916203217,0.322
23,1,0.12981986411619262,0.12981986411619262,0.12981986411619262,0.12981986411619262,0.12981986411619262,0.12981986411619262,1.0,,,-0.4581989152486745,0.5674890939966931,0.35221882901216545,0.2585
24,1,0.20259486071670552,0.20259486071670552,0.20259486071670552,0.20259486071670552,0.20259486071670552,0.20259486071670552,1.0,,,-0.47446867679910426,0.5055960242290759,0.32741479333037027,0.198
