h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0
1,1,0.04097550020005114,0.04097550020005114,0.04097550020005114,0.04097550020005114,0.04097550020005114,0.04097550020005114,1.0,,,-0.11894428198796347,0.11873148690425295,0.06360498533700713,0.6465
2,1,0.08224070977745923,0.08224070977745923,0.08224070977745923,0.08224070977745923,0.08224070977745923,0.08224070977745923,1.0,,,-0.19051054995497108,0.17600536095055214,0.10086432563540322,0.4745
3,1,0.08069286431601552,0.08069286431601552,0.08069286431601552,0.08069286431601552,0.08069286431601552,0.08069286431601552,1.0,,,-0.24952829042605262,0.2478432992971769,0.12316554894146116,0.583
4,1,0.14610269758122452,0.14610269758122452,0.14610269758122452,0.14610269758122452,0.14610269758122452,0.14610269758122452,1.0,,,-0.2865135462962195,0.28120597065130293,0.15329842669680108,0.361
5,1,0.1923024268410245,0.1923024268410245,0.1923024268410245,0.1923024268410245,0.1923024268410245,0.1923024268410245,1.0,,,-0.33704491593069286,0.3530439089979277,0.17474982109692944,0.29
6,1,0.15064237012855264,0.15064237012855264,0.15064237012855264,0.15064237012855264,0.15064237012855264,0.15064237012855264,1.0,,,-0.3533146774811226,0.3564867671488271,0.1841150812436189,0.459
7,1,0.17287657581423788,0.17287657581423788,0.17287657581423788,0.17287657581423788,0.17287657581423788,0.17287657581423788,1.0,,,-0.3394403778849313,0.36381453602623015,0.18758273136534986,0.4575
8,1,0.14490828817579238,0.14490828817579238,0.14490828817579238,0.14490828817579238,0.14490828817579238,0.14490828817579238,1.0,,,-0.29563492312149847,0.409648638549252,0.20106580157862805,0.5555
9,1,0.1985525577765459,0.1985525577765459,0.1985525577765459,0.1985525577765459,0.1985525577765459,0.1985525577765459,1.0,,,-0.2651870498688763,0.48489041829790264,0.2194485529937066,0.4505
10,1,0.1751853547274398,0.1751853547274398,0.1751853547274398,0.1751853547274398,0.1751853547274398,0.1751853547274398,1.0,,,-0.30270342617527485,0.5567283566445275,0.24277908815670737,0.484
11,1,0.11413707945121598,0.11413707945121598,0.11413707945121598,0.11413707945121598,0.11413707945121598,0.11413707945121598,1.0,,,-0.35580126087891534,0.5030482332107107,0.27046749849727886,0.5405
12,1,0.1019808392998588,0.1019808392998588,0.1019808392998588,0.1019808392998588,0.1019808392998588,0.1019808392998588,1.0,,,-0.3927865167490822,0.5551357795145385,0.289763788967472,0.5155
13,1,0.06971418862689471,0.06971418862689471,0.06971418862689471,0.06971418862689471,0.06971418862689471,0.06971418862689471,1.0,,,-0.44331788638355557,0.5550607316735132,0.3054585388668996,0.5155
14,1,-0.00048076471059355086,-0.00048076471059355086,-0.00048076471059355086,-0.00048076471059355086,-0.00048076471059355086,-0.00048076471059355086,1.0,,,-0.44700406125937464,0.5453579837083286,0.31481616453354455,0.626
15,1,-0.03167689725548095,-0.03167689725548095,-0.03167689725548095,-0.03167689725548095,-0.03167689725548095,-0.03167689725548095,1.0,,,-0.4220214409464863,0.5826856210702956,0.3274058339569456,0.596
16,1,-0.08969319070309123,-0.08969319070309123,-0.08969319070309123,-0.08969319070309123,-0.08969319070309123,-0.08969319070309123,1.0,,,-0.47161366167094265,0.5760022189604816,0.3506199006700234,0.5215
17,1,-0.04443976162232355,-0.04443976162232355,-0.04443976162232355,-0.04443976162232355,-0.04443976162232355,-0.04443976162232355,1.0,,,-0.47700825694625604,0.5141091491928644,0.362088869677427,0.5245
18,1,-0.0949711312567969,-0.0949711312567969,-0.0949711312567969,-0.0949711312567969,-0.0949711312567969,-0.0949711312567969,1.0,,,-0.5063875220043093,0.49767555020570736,0.36604840793980936,0.489
19,1,-0.13195638712696378,-0.13195638712696378,-0.13195638712696378,-0.13195638712696378,-0.13195638712696378,-0.13195638712696378,1.0,,,-0.5569188916387826,0.5422545560521528,0.3668765846830128,0.4545
20,1,-0.20352265509397138,-0.20352265509397138,-0.20352265509397138,-0.20352265509397138,-0.20352265509397138,-0.20352265509397138,1.0,,,-0.4850809532921578,0.48056289873820407,0.3458862830898607,0.3925
21,1,-0.32246693708193486,-0.32246693708193486,-0.32246693708193486,-0.32246693708193486,-0.32246693708193486,-0.32246693708193486,1.0,,,-0.38919781873543896,0.4623439213596262,0.33488120651127273,0.256
22,1,-0.3814846775530164,-0.3814846775530164,-0.3814846775530164,-0.3814846775530164,-0.3814846775530164,-0.3814846775530164,1.0,,,-0.39918117477759296,0.5268599609899605,0.3484766191597583,0.1695
23,1,-0.39775443910344616,-0.39775443910344616,-0.39775443910344616,-0.39775443910344616,-0.39775443910344616,-0.39775443910344616,1.0,,,-0.4581989152486745,0.5674890939966931,0.351306686944294,0.133
24,1,-0.38388013950725486,-0.38388013950725486,-0.38388013950725486,-0.38388013950725486,-0.38388013950725486,-0.38388013950725486,1.0,,,-0.47446867679910426,0.5055960242290759,0.32703000177170344,0.1
