onset,phase,peak_oni,peak_month,duration_m,merged_episodes,pre_level,chg_3m,chg_6m,chg_9m,chg_12m,chg_18m,chg_24m
1982-05,el_nino,2.14,1983-01,14,0,,,,,,,
1983-10,la_nina,-0.96,1983-11,5,0,,,,,,,
1984-10,la_nina,-1.06,1984-12,9,0,,,,,,,
1986-09,el_nino,1.49,1987-09,17,0,,,,,,,
1988-05,la_nina,-1.85,1988-12,13,0,,,,,,,
1991-06,el_nino,1.54,1992-01,13,0,,,,,,,
1994-10,el_nino,0.97,1994-12,5,0,,,,,,,
1995-08,la_nina,-1.05,1995-11,8,0,,,,,,,
1997-05,el_nino,2.37,1997-12,12,0,,,,,,,
1998-07,la_nina,-1.53,1999-12,24,0,,,,,,,
2000-10,la_nina,-0.78,2000-12,5,0,,,,,,,
2002-07,el_nino,1.19,2002-11,8,0,,,,,,,
2004-08,el_nino,0.71,2004-12,7,0,,,,,,,
2005-11,la_nina,-0.86,2006-01,5,0,,,,,,,
2006-09,el_nino,0.88,2006-11,5,0,,,,,,,
2007-08,la_nina,-1.76,2008-01,11,0,,,,,,,
2008-11,la_nina,-0.89,2009-01,5,0,,,,,,,
2009-07,el_nino,1.5,2009-12,9,0,,,,,,,
2010-06,la_nina,-1.57,2010-11,12,0,,,,,,,
2011-08,la_nina,-1.02,2011-11,7,0,,,,,,,
2014-10,el_nino,2.59,2015-12,20,0,,,,,,,
2017-11,la_nina,-0.76,2017-12,5,0,,,,,,,
2018-09,el_nino,1.05,2018-12,10,0,,,,,,,
2019-10,el_nino,0.75,2019-12,6,0,,,,,,,
2020-09,la_nina,-1.11,2020-11,8,0,,,,,,,
2021-09,la_nina,-0.91,2021-11,17,0,0.7698105541260761,0.08069286431601552,0.15064237012855264,0.1985525577765459,0.1019808392998588,-0.0949711312567969,-0.38388013950725486
2023-06,el_nino,1.99,2023-12,11,0,0.549612925271174,-0.06141320242532,0.03708654872412526,-0.16529071092394426,-0.19358648621133132,-0.031048416881994334,0.20259486071670552
