onset,phase,peak_oni,peak_month,duration_m,merged_episodes,pre_level,chg_3m,chg_6m,chg_9m,chg_12m,chg_18m,chg_24m
1950-01,la_nina,-1.32,1950-01,13,0,,,,,,,
1951-06,el_nino,1.03,1951-10,8,0,,,,,,,
1953-04,el_nino,0.78,1953-10,9,0,,,,,,,
1955-03,la_nina,-1.59,1955-11,14,0,,,,,,,
1957-04,el_nino,1.69,1958-01,14,0,,,,,,,
1963-07,el_nino,1.19,1963-11,8,0,0.2698734368761621,-0.02842286134499794,0.01678948147655035,-0.06886383090350812,-0.04906120360732835,0.20467102082237965,0.040986590027169534
1964-05,la_nina,-0.8,1964-10,9,0,0.25092055814318925,0.04110889740559731,0.05914893027494106,0.2793756102940277,0.4663956878695368,0.0978634424556315,0.0039392642591842275
1965-06,el_nino,1.82,1965-11,10,0,0.5915275087387645,-0.22563225519876084,-0.2088124787346457,-0.2242818161008886,-0.2563701306523889,-0.28485161485873167,-0.319942934670002
1968-10,el_nino,0.98,1969-01,8,0,0.14447728300472532,0.01757456746913455,0.06620824935986569,-0.015983841193814463,0.06315347936490845,0.1380460729790487,0.03661792573894296
1970-07,la_nina,-1.36,1971-02,19,0,0.2668498503906447,-0.0772916743016463,-0.1799250704919011,-0.20067069546215066,-0.18997540634540222,-0.18997540634540222,-0.07660509686307204
1972-06,el_nino,1.84,1972-11,10,0,0.06730365157689633,0.018964303574050767,0.041580051581664,0.13781621329485727,0.15814802025987884,0.06822292149566245,0.04776867349011038
1973-05,la_nina,-2.04,1973-12,35,1,0.2364546312392699,-0.037039994058973846,-0.11069822480641989,-0.0674018774605285,-0.18257947539230823,-0.21998525531062096,-0.218459702001784
1976-09,el_nino,0.84,1976-12,18,1,0.1240047412447914,-0.13492339796115793,-0.15630275999184384,0.006679145393457375,-0.21070233599846588,-0.04672431640064012,-0.09629198482072177
1982-05,el_nino,2.14,1983-01,14,0,0.2826991375601793,-0.020314969742281974,-0.15878677954935672,-0.24058455389653588,-0.24474234520768778,-0.17168525403873414,-0.25992112440052306
1983-10,la_nina,-1.06,1984-12,21,1,0.07467382638569624,0.001639083140643649,0.011295488148122423,-0.0320664003456157,-0.06375655085010568,0.06749114709153758,0.158224005214894
1986-09,el_nino,1.49,1987-09,17,0,0.3030791717038592,-0.11088539158979671,-0.13945317270935131,-0.1264378045972805,-0.08980027310272565,0.12471843338036148,0.23086390213225982
1988-05,la_nina,-1.85,1988-12,13,0,0.32283365038755346,0.09293064269106033,-0.011892816025822484,-0.01411130646127745,0.04240108073310456,-0.10318423623523021,0.16145904598573235
1991-06,el_nino,1.54,1992-01,13,0,0.6062209059152966,-0.013810445273406025,-0.24308791201010305,-0.13644649442230872,-0.17576162588022193,-0.21927726331638464,-0.34405213214398334
1994-10,el_nino,0.97,1994-12,5,0,0.22992862098146993,0.09909996739447369,0.011632965051173727,0.021673535231991004,-0.05291671188266989,0.13366621499625264,0.35790525665189854
1995-08,la_nina,-1.05,1995-11,8,0,0.19028417812492857,-0.04033103929945003,0.08358841164282005,0.1856205924861758,0.29927146004372496,0.6406505945274938,0.7792027261347858
1997-05,el_nino,2.37,1997-12,12,0,0.8901169045389358,-0.10778360900382111,-0.3080459373319666,-0.2916761606017291,-0.6318396800038206,-0.6776236625406149,-0.5599270984135343
1998-07,la_nina,-1.53,1999-12,32,1,0.45182615386483516,-0.10824163106641915,-0.10207375945039399,-0.03536714383729134,0.008649741579483283,0.31805465109769404,0.3418508939253444
2002-07,el_nino,1.19,2002-11,8,0,0.7634147003479471,0.001095290361415202,-0.2193047750070436,-0.12905362791511354,-0.10741390446966825,-0.08734201015514742,0.05131861052279074
2004-08,el_nino,0.71,2004-12,7,0,0.7330023735330004,0.24653048401236344,0.30252858056877585,0.055057110342127125,-0.03857679812781356,-0.13242812264900028,-0.3523730209960947
2005-11,la_nina,-0.86,2006-01,5,0,0.7595503955546373,-0.10720275591206097,-0.14288784405485,-0.3271476542591554,-0.27635961088383354,-0.4437777621752126,-0.39657616069091794
2006-09,el_nino,0.88,2006-11,5,0,0.47964224762671986,0.16240889361373956,0.0640218587649315,-0.09910525077287602,-0.03424219730671929,-0.14875801424773805,-0.04413444718582227
2007-08,la_nina,-1.76,2008-01,20,1,0.2646157329909305,0.005194816877104991,-0.03505064260267776,-0.07754761019294953,-0.07888830033343641,0.1332275703037098,0.3808069618355878
2009-07,el_nino,1.5,2009-12,9,0,0.657076485867799,0.06708826289886627,0.1437826729175633,0.181785507464582,0.1911533904327687,0.28210079711905234,0.1871652417891232
2010-06,la_nina,-1.57,2010-11,21,1,0.883912849491541,0.1022239253216446,0.0648956125244915,0.00018269845670459972,-0.06063604157833424,-0.029064162289941464,-0.4389789959246748
2014-10,el_nino,2.59,2015-12,20,0,0.7177252152618975,-0.10357980333686267,-0.18773408279085135,-0.19178521031910023,-0.14713310716861194,-0.11337643053845792,-0.22100855422795362
2017-11,la_nina,-0.76,2017-12,5,0,0.36875629429407236,-0.015909258201946663,-0.014159089959988158,0.002129311304906345,0.059003255645726504,0.09076249931323321,0.2157085728266921
2018-09,el_nino,1.05,2018-12,19,1,0.438594135342381,0.03577610318941371,0.016323414657522406,0.10489166653591386,0.141768287434493,0.3286639214746181,0.3728380893435679
2020-09,la_nina,-1.11,2020-11,29,1,0.7916345187571402,-0.046889755266501965,-0.015855295458576002,-0.01156319444337317,-0.06401571724590838,0.08172632445361216,0.044602968146658206
2023-06,el_nino,1.99,2023-12,11,0,0.6686066443428874,-0.05694485180113329,-0.009766291526042359,-0.22059541412742956,-0.25433241953906194,-0.07966445816790202,0.1637630953431577
