h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,19,0.004293770605650855,0.0038380008732232795,-0.02322989731188274,0.037612939830874215,-0.16579225484274396,0.1830528946523895,0.5789473684210527,-0.03191080070942703,0.037235440963536044,-0.02174601225857633,0.02139833731167185,0.01080894930774962,0.6645
2,19,-0.0013938182651078478,0.01757456746913455,-0.068387207913982,0.06361243749514722,-0.23837128097619065,0.1994545420730578,0.47368421052631576,-0.051357954109881504,0.04899505415976845,-0.03335755946553915,0.033802724874841025,0.016747591210311483,0.9365
3,19,0.005000957145127587,0.001095290361415202,-0.08026232756899798,0.07296283991757857,-0.22563225519876084,0.24653048401236344,0.5263157894736842,-0.04463498615482943,0.056271327190678046,-0.03714797453221731,0.04493726015778615,0.02110718828899553,0.827
4,19,-0.011156112480592608,-0.015817560377270112,-0.0973844855101671,0.06450184340011544,-0.2534222523284395,0.2735219325546838,0.5263157894736842,-0.06582359437578486,0.04619550891915343,-0.03773479903364276,0.05321361349413936,0.02300946196470434,0.6465
5,19,-0.022753469657562465,0.02556394836759779,-0.16064258327718184,0.06433236559703825,-0.23691343704793333,0.29927442865709786,0.47368421052631576,-0.08595904724180503,0.042390411516596005,-0.037658353748450765,0.05914012304155325,0.024604152216256694,0.3995
6,19,-0.02504549928823205,0.011632965051173727,-0.17326043117010403,0.06511505406239859,-0.3080459373319666,0.30252858056877585,0.47368421052631576,-0.09950404460954025,0.05460286147052628,-0.03997023397583947,0.06484648541633009,0.026488511490906034,0.399
7,19,-0.03487712832713541,-0.0006861063733980544,-0.18758632090499594,0.08553249612933911,-0.2858491419534346,0.23626312449096787,0.5263157894736842,-0.1106020593108281,0.04040073032360865,-0.04443906085618017,0.0723690779797636,0.02907679598548095,0.277
8,19,-0.0370019208622321,-0.05203419632250306,-0.17091757348280012,0.09687496715792143,-0.29422393268052804,0.2199926813484696,0.5263157894736842,-0.10742494608117623,0.03454810656816001,-0.049325353823621625,0.07933546620448681,0.03200782893339894,0.2945
9,19,-0.052951052991790565,-0.06886383090350812,-0.16411585237070447,0.06330524329660836,-0.2916761606017291,0.181785507464582,0.5789473684210527,-0.11772300660732724,0.01200047653541744,-0.051462550310784234,0.08349253234848499,0.03377102655035197,0.157
10,19,-0.0680969550415942,-0.06566148588219445,-0.16609157437229038,0.029472864607536398,-0.39684456635335685,0.21836672220477027,0.7368421052631579,-0.13705551842968422,0.002134435398169433,-0.05431075177711779,0.08723964140066831,0.03547107086440754,0.0745
11,19,-0.07453993460300538,-0.09739234600864854,-0.17647766625715633,0.05017359488034856,-0.5265462987154601,0.2296365174798538,0.6842105263157895,-0.15826967795970007,0.00672302567066606,-0.06143840189668596,0.08428931115698031,0.037070804206558894,0.0565
12,19,-0.07982692541229151,-0.05291671188266989,-0.1932319809393439,0.05288526166534435,-0.6318396800038206,0.1911533904327687,0.6842105263157895,-0.17067257923745321,0.0023167059616599956,-0.0628726878089256,0.084358382808695,0.03806152683744457,0.0415
13,19,-0.07344433365804716,-0.05058584432775959,-0.1989970591528718,0.056791329946215274,-0.6377856042722296,0.2629810678965834,0.631578947368421,-0.16626697702467452,0.01250473257299121,-0.06853712973555476,0.08702616302545414,0.03932388498615931,0.066
14,19,-0.05154409015042682,-0.004832594838208415,-0.17830739300605902,0.05960118944374582,-0.6295203902127291,0.3318604428014984,0.5263157894736842,-0.14861117971454693,0.04372823812715665,-0.07166208659044666,0.08882170852075653,0.039962497675313464,0.184
15,19,-0.042771569001081124,0.011942817108421266,-0.15596099270147068,0.06933836388956838,-0.609533922489522,0.3076844665960854,0.47368421052631576,-0.14538865493187358,0.05120581756330317,-0.07808071947704884,0.0863605602406447,0.040481449099012384,0.273
16,19,-0.054604023895133726,-0.012111235949351595,-0.17084804381194818,0.07358726020719741,-0.7116456732721801,0.2537630424696822,0.5789473684210527,-0.16348262325292226,0.037321372740123336,-0.07884880744467235,0.08470996465690217,0.04159550771126336,0.185
17,19,-0.042058151844432255,-0.025960297029747892,-0.12516219907076165,0.10441272401426893,-0.7377620212791483,0.2945321300043453,0.5789473684210527,-0.14549165389837065,0.050500506072296066,-0.07979434730507715,0.08536060024745931,0.04240909662398147,0.3105
18,19,-0.025629073231920523,-0.04672431640064012,-0.14059306844836916,0.13585614398765067,-0.6776236625406149,0.3286639214746181,0.5789473684210527,-0.13182231925019075,0.0696570824547582,-0.07892154453492531,0.08841743603982308,0.04231239277026911,0.552
19,19,-0.0032958989070214976,0.03206572122823825,-0.13578500467799826,0.16399650447765213,-0.7140777782407923,0.42577264342817234,0.42105263157894735,-0.12462833587295095,0.10160112165568563,-0.08005856921529736,0.09193125497457726,0.043087317952776434,0.9365
20,19,0.0007734499475678304,0.06786631123024645,-0.11557252997563872,0.19704230606531548,-0.7315941496631231,0.38591565338208866,0.5789473684210527,-0.11645074428890724,0.10803378125586614,-0.07361900703740835,0.10058724532818424,0.04408631607365057,0.988
21,19,-0.013866010942299386,0.02686070487569303,-0.1475333439161175,0.19366428660849833,-0.7642975352198187,0.32982618673104547,0.47368421052631576,-0.13747705251992984,0.09882324431995826,-0.07489727490309632,0.10209182376157978,0.0448014875399594,0.7645
22,19,-0.014173645867240547,0.013103325147407752,-0.1875490379997049,0.19778911937620114,-0.691408978428079,0.4052131237298635,0.47368421052631576,-0.14118529850746944,0.10355177678819173,-0.07455697986631056,0.10491784067968797,0.04559499603832896,0.7655
23,19,-0.02280265515837617,0.03598120587685116,-0.1822852968327382,0.15883151256101513,-0.6648875340500204,0.35358027273915216,0.47368421052631576,-0.14078404567067487,0.08648925534723621,-0.07634311303360473,0.10718909986347247,0.04632435976002645,0.6295
24,19,-0.018574078704508966,0.040986590027169534,-0.24046483931423834,0.17546416856614044,-0.5599270984135343,0.3728380893435679,0.42105263157894735,-0.1391530007183586,0.09334569887792765,-0.07724036898106221,0.1056189327695942,0.046473006904587784,0.6945
