h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,9,-0.012265276940066135,-0.010538492417874856,-0.033337337810602996,0.019986467723207113,-0.1141259669984711,0.04015929640068894,0.5555555555555556,-0.045474402004742974,0.014865165262435224,-0.03029445292131665,0.03313585404347661,0.016301713075408012,0.4595
2,9,-0.007526881129330359,0.01409753926847479,-0.07339717118036848,0.03334455041672957,-0.10022687913808248,0.11889491902319271,0.4444444444444444,-0.05004278157768931,0.03853346028811426,-0.04471031365351593,0.052743664482526584,0.025005690808347237,0.7465
3,9,-0.012953996857325024,-0.015909258201946663,-0.046889755266501965,0.005194816877104991,-0.10824163106641915,0.1022239253216446,0.5555555555555556,-0.05674179719201355,0.033953686099014946,-0.05252722471783025,0.07490466002489367,0.032013886489200526,0.697
4,9,-0.0069537491980801785,-0.007252676678081826,-0.03125254350410511,0.030509744439866537,-0.0946272390285019,0.0673160200591818,0.6666666666666666,-0.03769839771645025,0.022227289125423846,-0.05680899241289797,0.08919156059408218,0.03693875293354883,0.8635
5,9,-0.02082143052876193,-0.012422519998557036,-0.036609745612560474,-0.0020838242340381896,-0.09789771616235132,0.045337514875267715,0.7777777777777778,-0.050821741166319115,0.006506793356102192,-0.05850401092860113,0.10353778341728959,0.04038879796327443,0.6675
6,9,-0.018015548359652713,-0.014159089959988158,-0.03505064260267776,0.011295488148122423,-0.14288784405485,0.08358841164282005,0.6666666666666666,-0.06252778737296617,0.025207727336401788,-0.05950084042260579,0.11573480066627291,0.044154414450701146,0.753
7,9,-0.04219444835520855,-0.011160606371795723,-0.1347771450070896,0.0034632800591749557,-0.21028196569948587,0.12161526251026444,0.6666666666666666,-0.10784774824068026,0.021097089537996987,-0.06829549422491592,0.12216329384605877,0.048669233687891666,0.4755
8,9,-0.02627894404747069,0.0007258023025871196,-0.06188858821534993,0.019073079816073424,-0.2582922020386018,0.1439210200245622,0.4444444444444444,-0.0987977032976941,0.04042370544353741,-0.07281671390521988,0.13404824981148522,0.05356876972225668,0.68
9,9,-0.034430078587986204,-0.01411130646127745,-0.03536714383729134,0.00018269845670459972,-0.3271476542591554,0.1856205924861758,0.6666666666666666,-0.12382605577092373,0.04293749843954778,-0.08263045942348242,0.14490711002825182,0.0579266583136644,0.602
10,9,-0.024289544657189428,0.008167909090862402,-0.05847852975769641,0.031603097605349184,-0.39174356585270953,0.213429754303454,0.4444444444444444,-0.12996187650080815,0.06575880705045004,-0.09403178570218648,0.15344471385079617,0.06186542988445035,0.723
11,9,-0.012107072499836176,-0.00977907264987099,-0.07070028362079928,0.06473055713119447,-0.3597024180224757,0.2931947227723164,0.5555555555555556,-0.12573874210529037,0.09194511426079492,-0.10411620129501795,0.15698714426831728,0.06602517086265954,0.8635
12,9,-0.014925631432175438,-0.06063604157833424,-0.06401571724590838,0.04240108073310456,-0.27635961088383354,0.29927146004372496,0.5555555555555556,-0.10563499247678458,0.08351608785406829,-0.11379878035703668,0.16053905725542772,0.06851981920978274,0.8355
13,9,-0.004119458348055123,-0.03410703547050886,-0.047531279478024935,0.009178731951814179,-0.22933467223896997,0.30491439621350036,0.6666666666666666,-0.08799643695499512,0.08895885280573304,-0.12354782548101383,0.1565280077492591,0.07105715427496903,0.9655
14,9,-0.0005726646710626011,-0.015424470325631212,-0.07048027413722657,0.03240424334461167,-0.2871670565070925,0.3681600616802081,0.5555555555555556,-0.10604867342291681,0.11496076092315616,-0.13713175773940725,0.15707327162102858,0.07315413462922066,0.993
15,9,0.0225603589871721,0.04472447407949254,-0.04671786433730851,0.05669605069036976,-0.30922677457182424,0.40613930974542445,0.6666666666666666,-0.08792378583792278,0.1414165893697733,-0.13721766742080174,0.15943333436327856,0.07493673000902272,0.7645
16,9,0.04539767476381624,0.03718535401454037,0.02050617142861988,0.08653934206223113,-0.32772170708777804,0.4549219720675275,0.7777777777777778,-0.08212009065106529,0.17845511907139097,-0.1388449298947146,0.16517943748780153,0.07706002909681968,0.552
17,9,0.0664817811650606,0.0983283331753313,0.018758727904348405,0.10988405759398923,-0.37627934015512743,0.5193966555295537,0.7777777777777778,-0.08163309161297169,0.20937306364731148,-0.13825486135773352,0.17136260071462758,0.07837816410624275,0.402
18,9,0.08398740289854405,0.08172632445361216,-0.029064162289941464,0.1332275703037098,-0.4437777621752126,0.6406505945274938,0.6666666666666666,-0.09434143743675741,0.2681712491151615,-0.13795804283347635,0.17119493669094554,0.07894110484864153,0.293
19,9,0.11172382367205408,0.10770181085687369,-0.008545098276622198,0.17837104084886768,-0.49084881662558555,0.7217435066307898,0.6666666666666666,-0.08854108858695428,0.30395667708886503,-0.13740078023382196,0.17953601450146922,0.08031082329077649,0.176
20,9,0.13098029814134618,0.09749134601742071,0.04174978848710431,0.23262644899483398,-0.5061747871038129,0.8172655732883287,0.7777777777777778,-0.09120335225541876,0.35726337448959294,-0.13970091271908475,0.18694920569713985,0.08263400712022634,0.1225
