h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0
1,0,,,,,,,,,,-0.11283623764774758,0.12881254168870648,0.06140421651582844,
2,0,,,,,,,,,,-0.17240469499872374,0.21422689689129018,0.089275991053949,
3,1,-0.10580795247994208,-0.10580795247994208,-0.10580795247994208,-0.10580795247994208,-0.10580795247994208,-0.10580795247994208,1.0,,,-0.12274349708606608,0.271633299716672,0.10617788307487382,0.3475
4,1,-0.04616016803441614,-0.04616016803441614,-0.04616016803441614,-0.04616016803441614,-0.04616016803441614,-0.04616016803441614,1.0,,,-0.12544374476347403,0.36850441028559033,0.12911302686501291,0.701
5,1,0.03208807793861318,0.03208807793861318,0.03208807793861318,0.03208807793861318,0.03208807793861318,0.03208807793861318,1.0,,,-0.17403886715616917,0.42354553531960276,0.15241362353653143,0.7655
6,1,0.028307206474365076,0.028307206474365076,0.028307206474365076,0.028307206474365076,0.028307206474365076,0.028307206474365076,1.0,,,-0.1955799977540265,0.4701459623754931,0.17013407248344367,0.662
7,1,-0.06391254336471834,-0.06391254336471834,-0.06391254336471834,-0.06391254336471834,-0.06391254336471834,-0.06391254336471834,1.0,,,-0.13714738433391754,0.5142694317114119,0.18347024646029297,0.7405
8,1,-0.18045061966794393,-0.18045061966794393,-0.18045061966794393,-0.18045061966794393,-0.18045061966794393,-0.18045061966794393,1.0,,,-0.14288872798457547,0.5057495459227571,0.1949186440273407,0.411
9,1,-0.2963730243607428,-0.2963730243607428,-0.2963730243607428,-0.2963730243607428,-0.2963730243607428,-0.2963730243607428,1.0,,,-0.10854988294638773,0.5381782117434654,0.19389298289563353,0.2645
10,1,-0.32808806582503436,-0.32808806582503436,-0.32808806582503436,-0.32808806582503436,-0.32808806582503436,-0.32808806582503436,1.0,,,-0.05011726952627876,0.56500425235182,0.19145898860083224,0.2695
11,1,-0.31339129375081465,-0.31339129375081465,-0.31339129375081465,-0.31339129375081465,-0.31339129375081465,-0.31339129375081465,1.0,,,-0.05585861317693669,0.5933142281445014,0.20160068730524433,0.303
12,1,-0.3297449112775205,-0.3297449112775205,-0.3297449112775205,-0.3297449112775205,-0.3297449112775205,-0.3297449112775205,1.0,,,-0.031163235940808,0.5847943423558466,0.20864171847665752,0.301
13,1,-0.3382647970661753,-0.3382647970661753,-0.3382647970661753,-0.3382647970661753,-0.3382647970661753,-0.3382647970661753,1.0,,,-0.002853260148126535,0.6265774058141623,0.21615582489877058,0.301
14,1,-0.2941413277302565,-0.2941413277302565,-0.2941413277302565,-0.2941413277302565,-0.2941413277302565,-0.2941413277302565,1.0,,,0.021528033828643045,0.6707008751500811,0.22480864097167882,0.2695
15,1,-0.24754090067436613,-0.24754090067436613,-0.24754090067436613,-0.24754090067436613,-0.24754090067436613,-0.24754090067436613,1.0,,,0.04983800962132451,0.6670070935659107,0.23247571029997227,0.3345
16,1,-0.1924997756403537,-0.1924997756403537,-0.1924997756403537,-0.1924997756403537,-0.1924997756403537,-0.1924997756403537,1.0,,,0.04788156049228148,0.7136075206218011,0.23504624652520545,0.3345
17,1,-0.0675400531657371,-0.0675400531657371,-0.0675400531657371,-0.0675400531657371,-0.0675400531657371,-0.0675400531657371,1.0,,,0.10631417391239045,0.7577309899577199,0.22632954912925926,0.413
18,1,0.021727121250936482,0.021727121250936482,0.021727121250936482,0.021727121250936482,0.021727121250936482,0.021727121250936482,1.0,,,0.10057283026173253,0.7492111041690651,0.22379727143091724,0.3745
19,1,0.0791335240763183,0.0791335240763183,0.0791335240763183,0.0791335240763183,0.0791335240763183,0.0791335240763183,1.0,,,0.19744394083065087,0.7328574866423593,0.19654656031984927,0.3345
20,1,0.17600463464523664,0.17600463464523664,0.17600463464523664,0.17600463464523664,0.17600463464523664,0.17600463464523664,1.0,,,0.25485034365603265,0.7113163560445019,0.15930912732221875,0.301
21,1,0.1556627795861597,0.1556627795861597,0.1556627795861597,0.1556627795861597,0.1556627795861597,0.1556627795861597,1.0,,,0.34411751807270624,0.7402860067366185,0.12528997877769446,0.2695
22,1,0.19991341467729,0.19991341467729,0.19991341467729,0.19991341467729,0.19991341467729,0.19991341467729,1.0,,,0.46907724054732286,0.7317661209479637,0.09690623835572279,0.233
23,1,0.22673945528564465,0.22673945528564465,0.22673945528564465,0.22673945528564465,0.22673945528564465,0.22673945528564465,1.0,,,0.5241183655813353,0.7154125034212578,0.0730966551532201,0.194
24,1,0.2550494310783261,0.2550494310783261,0.2550494310783261,0.2550494310783261,0.2550494310783261,0.2550494310783261,1.0,,,0.5536311064150385,0.6501137265360803,0.0401706323826029,0.156
