from,to,lag,r,n,n_eff,p_bartlett,p_max_surrogate
ONI,Brazil rain anomaly (arabica belt),0,0.08505732192202033,376,124.2,0.3479313151571113,0.582
ONI,Vietnam rain anomaly (Central Highlands),2,-0.47659800416191234,378,97.8,4.4361772277845546e-07,0.0
ONI,Δlog CECAFE arabica exports (12m),0,0.11523345150741926,415,57.8,0.3915079945245574,0.95
Brazil rain anomaly,Δlog CECAFE arabica exports (12m),8,0.18352683781875567,369,195.5,0.010002333026182253,0.044
ONI,Δlog ICE certified robusta (12m),4,0.21256638708021128,195,26.1,0.29904735888482303,0.863
ONI,Δlog ICE certified arabica (12m),14,0.15678317637189892,178,23.8,0.47131051502038224,0.947
Brazil rain anomaly,Δlog ICE certified arabica (12m),10,-0.2260756324759819,178,73.0,0.05432991592165326,0.499
Vietnam rain anomaly,Δlog ICE certified robusta (12m),14,-0.18257183223321896,195,64.9,0.14626763121555864,0.713
Brazil rain anomaly,"Δ arbitrage (log, 3m)",2,0.12310764962510139,376,166.3,0.11379465449028103,0.76
Vietnam rain anomaly,"Δ arbitrage (log, 3m)",3,0.08471047819493295,375,143.3,0.31450313270896557,0.973
ONI,"Δ arbitrage (log, 3m)",1,-0.1563044194653798,558,119.3,0.0892808090738455,0.393
