,oni,nino34,neg_soi,other_milds_usd_t,robustas_usd_t,ind_arb_log,ind_arb_usd,fut_kc_usd_t,fut_rc_usd_t,fut_arb_log,fut_arb_usd,vn_usd_t,br_usd_t,b1_log,b2_log,b3_log,b3_usd,regime
1980-01,0.62,,-0.4,3810.0,3570.0,0.06506359334706246,240.0,,,,,,,,,,,neutral
1980-02,0.47,,-0.3,3710.0,3550.0,0.0440842731320199,160.0,,,,,,,,,,,neutral
1980-03,0.35,,0.4,4120.0,3720.0,0.10212949507637958,400.0,,,,,,,,,,,neutral
1980-04,0.34,,0.6,4050.0,3650.0,0.10398971352404729,400.0,,,,,,,,,,,neutral
1980-05,0.45,,0.0,4230.0,3880.0,0.08636683942300571,350.0,,,,,,,,,,,neutral
1980-06,0.4,,0.0,4050.0,3760.0,0.07429792371664412,290.0,,,,,,,,,,,neutral
1980-07,0.18,,0.0,3520.0,3280.0,0.07061756721395263,240.0,,,,,,,,,,,neutral
1980-08,-0.06,,-0.4,3100.0,2950.0,0.049596941139371964,150.0,,,,,,,,,,,neutral
1980-09,-0.17,,0.5,2860.0,2760.0,0.035590945102702776,100.0,,,,,,,,,,,neutral
1980-10,-0.07,,-0.0,2840.0,2720.0,0.043172171865209386,120.0,,,,,,,,,,,neutral
1980-11,0.08,,0.3,2600.0,2520.0,0.031252543504104224,80.0,,,,,,,,,,,neutral
1980-12,-0.05,,0.1,2720.0,2550.0,0.06453852113757108,170.0,,,,,,,,,,,neutral
1981-01,-0.27,,-0.4,2890.0,2630.0,0.0942726559346676,260.0,,,,,,,,,,,neutral
1981-02,-0.42,,0.2,2850.0,2490.0,0.1350362838039425,360.0,,,,,,,,,,,neutral
1981-03,-0.41,,1.3,2860.0,2470.0,0.1466034741918758,390.0,,,,,,,,,,,neutral
1981-04,-0.27,,0.1,2890.0,2450.0,0.1651684775677058,440.0,,,,,,,,,,,neutral
1981-05,-0.28,,-0.8,2830.0,2350.0,0.18586138349907877,480.0,,,,,,,,,,,neutral
1981-06,-0.27,,-1.2,2510.0,1860.0,0.2997062654185827,650.0,,,,,,,,,,,neutral
1981-07,-0.28,,-0.8,2670.0,1940.0,0.31939049933692143,730.0,,,,,,,,,,,neutral
1981-08,-0.23,,-0.7,2780.0,1980.0,0.3393540829961017,800.0,,,,,,,,,,,neutral
1981-09,-0.08,-0.3,-0.3,2800.0,1970.0,0.35158587443126077,830.0,,,,,,,,,,,neutral
1981-10,-0.16,-0.25,0.4,3020.0,2170.0,0.33052966383440996,850.0,,,,,,,,,,,neutral
1981-11,-0.19,-0.675,-0.2,3180.0,2310.0,0.3196336722583828,870.0,,,,,,,,,,,neutral
1981-12,-0.14,-0.36,-0.5,3130.0,2270.0,0.3212531730587509,860.0,,,,,,,,,,,neutral
1982-01,-0.05,0.1,-1.2,3180.0,2310.0,0.3196336722583828,870.0,,,,,,,,,,,neutral
1982-02,0.02,-0.22499999999999998,-0.3,3400.0,2520.0,0.2995165300987832,880.0,,,,,,,,,,,neutral
1982-03,0.07,-0.2,-0.6,3220.0,2470.0,0.2651632089164311,750.0,,,,,,,,,,,neutral
1982-04,0.34,0.05,-0.1,3120.0,2350.0,0.28341767366532356,770.0,,,,,,,,,,,neutral
1982-05,0.65,0.47500000000000003,0.3,3030.0,2280.0,0.2843871765549286,750.0,,,,,,,,,,,el_nino
1982-06,0.73,0.64,1.0,3100.0,2240.0,0.32492624562415173,860.0,,,,,,,,,,,el_nino
1982-07,0.78,0.25,1.5,2940.0,2170.0,0.3036824137982217,770.0,,,,,,,,,,,el_nino
1982-08,0.99,0.9,1.7,2930.0,2250.0,0.26407220681264665,680.0,,,,,,,,,,,el_nino
1982-09,1.45,1.3,1.7,3000.0,2410.0,0.21898554116554525,590.0,,,,,,,,,,,el_nino
1982-10,1.82,1.8,1.7,3100.0,2590.0,0.17974423577965393,510.0,,,,,,,,,,,el_nino
1982-11,2.03,1.75,2.6,3050.0,2690.0,0.1256003970055719,360.0,,,,,,,,,,,el_nino
1982-12,2.12,2.2199999999999998,2.2,2970.0,2820.0,0.05182506786458685,150.0,,,,,,,,,,,el_nino
1983-01,2.14,2.25,3.5,2870.0,2750.0,0.04271111809304973,120.0,,,,,,,,,,,el_nino
1983-02,1.91,1.875,3.6,2800.0,2680.0,0.04380262265839274,120.0,,,,,,,,,,,el_nino
1983-03,1.52,1.26,2.4,2760.0,2670.0,0.03315220731689994,90.0,,,,,,,,,,,el_nino
1983-04,1.23,0.75,0.9,2750.0,2670.0,0.029522439266321143,80.0,,,,,,,,,,,el_nino
1983-05,0.95,0.675,-0.6,2830.0,2720.0,0.03964483134724084,110.0,,,,,,,,,,,el_nino
1983-06,0.62,0.48,-0.0,2810.0,2650.0,0.05862484334752338,160.0,,,,,,,,,,,el_nino
1983-07,0.25,-0.44999999999999996,0.6,2830.0,2650.0,0.06571707165701568,180.0,,,,,,,,,,,neutral
1983-08,-0.06,-0.48,-0.1,2860.0,2650.0,0.07626198483363034,210.0,,,,,,,,,,,neutral
1983-09,-0.43,-0.45,-0.9,2920.0,2690.0,0.08204242266644268,230.0,,,,,,,,,,,neutral
1983-10,-0.76,-1.075,-0.4,3100.0,2870.0,0.07709008171957077,230.0,,,,,,,,,,,la_nina
1983-11,-0.96,-1.3,0.1,3190.0,2850.0,0.11270192251619449,340.0,,,,,,,,,,,la_nina
1983-12,-0.89,-1.275,-0.0,3230.0,2930.0,0.09747971420558965,300.0,,,,,,,,,,,la_nina
1984-01,-0.63,-1.0,-0.2,3170.0,2930.0,0.07872916486021442,240.0,,,,,,,,,,,la_nina
1984-02,-0.51,-0.24,-0.9,3220.0,3000.0,0.07076907088820761,220.0,,,,,,,,,,,la_nina
1984-03,-0.38,-0.575,0.2,3270.0,3040.0,0.07293246949103249,230.0,,,,,,,,,,,neutral
1984-04,-0.47,-0.475,-0.3,3310.0,3030.0,0.08838556986769319,280.0,,,,,,,,,,,neutral
1984-05,-0.55,-0.76,-0.2,3310.0,3230.0,0.02446605215440556,80.0,,,,,,,,,,,neutral
1984-06,-0.52,-1.05,0.3,3250.0,3170.0,0.02492340845245522,80.0,,,,,,,,,,,neutral
1984-07,-0.39,-0.725,-0.2,3180.0,3040.0,0.04502368137395507,140.0,,,,,,,,,,,neutral
1984-08,-0.22,-0.5599999999999999,-0.4,3210.0,3100.0,0.03486882565082361,110.0,,,,,,,,,,,neutral
1984-09,-0.32,-0.375,-0.1,3140.0,3120.0,0.006389798098771493,20.0,,,,,,,,,,,neutral
1984-10,-0.62,-0.86,0.3,3020.0,2980.0,0.013333530869465093,40.0,,,,,,,,,,,la_nina
1984-11,-0.95,-1.325,-0.3,3090.0,3000.0,0.029558802241545834,90.0,,,,,,,,,,,la_nina
1984-12,-1.06,-1.575,0.1,3100.0,2800.0,0.10178269430994202,300.0,,,,,,,,,,,la_nina
1985-01,-1.01,-1.3199999999999998,0.3,3210.0,2770.0,0.14742361694267636,440.0,,,,,,,,,,,la_nina
1985-02,-0.86,-0.9,-1.2,3180.0,2700.0,0.1636294237818019,480.0,,,,,,,,,,,la_nina
1985-03,-0.85,-0.975,-0.8,3260.0,2710.0,0.1847785604870067,550.0,,,,,,,,,,,la_nina
1985-04,-0.8,-1.1,-1.2,3120.0,2700.0,0.14458122881110835,420.0,,,,,,,,,,,la_nina
1985-05,-0.79,-1.1600000000000001,-0.4,3150.0,2670.0,0.16532398042538254,480.0,,,,,,,,,,,la_nina
1985-06,-0.6,-1.075,0.4,3130.0,2650.0,0.1664733645539309,480.0,,,,,,,,,,,la_nina
1985-07,-0.44,-0.8200000000000001,0.1,2980.0,2340.0,0.24177237114770378,640.0,,,,,,,,,,,neutral
