series,phase,signal,sample,h,n_signals,n_neutral,mean,median,hit_rate,ci_lo,ci_hi,neutral_mean,neutral_share_same_sign,all_mean,all_sd,p_vs_neutral
ICO indicator premium,el_nino,real-time signal (incl. false alarms),all,3,20,286,0.017102436251312893,0.0069037549916246554,0.55,-0.026885723260908337,0.06089816243709515,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.79425
ICO indicator premium,el_nino,real-time signal (incl. false alarms),all,6,19,283,-0.057684553991034775,-0.05437140378212746,0.631578947368421,-0.11915344207941454,0.008455293643291657,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.00625
ICO indicator premium,el_nino,real-time signal (incl. false alarms),all,12,19,277,-0.10179471533982175,-0.1202165498070844,0.7894736842105263,-0.1764227791455804,-0.03104380819459858,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.013
ICO indicator premium,el_nino,real-time signal (incl. false alarms),discovery ≤2012,3,14,286,0.014700374793969065,-0.002367076194023099,0.5,-0.03578889752634558,0.07039473614049674,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.8865
ICO indicator premium,el_nino,real-time signal (incl. false alarms),discovery ≤2012,6,14,283,-0.07550631487383029,-0.1389170632865615,0.6428571428571429,-0.153206408810981,0.013610411036380585,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.005
ICO indicator premium,el_nino,real-time signal (incl. false alarms),discovery ≤2012,12,14,277,-0.12168461752684998,-0.12455378143755214,0.8571428571428571,-0.2086685613582301,-0.03535800390024032,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.0145
ICO indicator premium,el_nino,real-time signal (incl. false alarms),validation 2013→,3,6,286,0.022707246318448487,0.03236078397219844,0.6666666666666666,-0.05014819716454314,0.09752813750169424,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.76
ICO indicator premium,el_nino,real-time signal (incl. false alarms),validation 2013→,6,5,283,-0.0077836235192073385,-0.009766291526042359,0.6,-0.0684208463891963,0.044363499323335984,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.545
ICO indicator premium,el_nino,real-time signal (incl. false alarms),validation 2013→,12,5,277,-0.04610298921614273,-0.1166743431238384,0.6,-0.17419616831492846,0.08199018988264299,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.46725
ICO indicator premium,el_nino,official onset (retrospective),all,3,12,286,0.01655666089358084,-0.006357577455995411,0.5,-0.0420150517730199,0.0787052667225565,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.848
ICO indicator premium,el_nino,official onset (retrospective),all,6,12,283,-0.060657454913729016,-0.07460973211769684,0.5833333333333334,-0.1555861178584232,0.04105361036530382,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.02925
ICO indicator premium,el_nino,official onset (retrospective),all,12,12,277,-0.12031978206847826,-0.09860708878619695,0.8333333333333334,-0.2427023688435921,-0.012978292500688158,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.025
ICO indicator premium,el_nino,official onset (retrospective),discovery ≤2012,3,9,286,0.03593649807461693,0.001095290361415202,0.5555555555555556,-0.03497177733734569,0.11110896864839576,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.439
ICO indicator premium,el_nino,official onset (retrospective),discovery ≤2012,6,9,283,-0.06074583325615299,-0.13945317270935131,0.5555555555555556,-0.17969514311513615,0.06584250927178006,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.0605
ICO indicator premium,el_nino,official onset (retrospective),discovery ≤2012,12,9,277,-0.13157112728317313,-0.08980027310272565,0.8888888888888888,-0.2849125251793498,-0.007007685015648117,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.035
ICO indicator premium,el_nino,official onset (retrospective),validation 2013→,3,3,286,-0.041582850649527416,-0.05694485180113329,0.6666666666666666,-0.10357980333686267,0.03577610318941371,0.011105092150872875,0.45104895104895104,0.0013110003111239535,0.09425366263320312,0.33625
ICO indicator premium,el_nino,official onset (retrospective),validation 2013→,6,3,283,-0.0603923198864571,-0.009766291526042359,0.6666666666666666,-0.18773408279085135,0.016323414657522406,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.26025
ICO indicator premium,el_nino,official onset (retrospective),validation 2013→,12,3,277,-0.08656574642439363,-0.14713310716861194,0.6666666666666666,-0.25433241953906194,0.141768287434493,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.374
ICO indicator premium,la_nina,real-time signal (incl. false alarms),all,3,28,286,0.02598192340936992,0.0035810293348266242,0.5714285714285714,-0.006461974701271344,0.05960766705181588,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.4205
ICO indicator premium,la_nina,real-time signal (incl. false alarms),all,6,28,283,0.036222254093362584,0.0006711913302179795,0.5,-0.016461087597117428,0.09526677973357951,0.030077791731969655,0.5759717314487632,0.002714561679499774,0.1377870084585005,0.82725
ICO indicator premium,la_nina,real-time signal (incl. false alarms),all,12,27,277,0.006657443822640223,0.009478743954544733,0.5185185185185185,-0.06809304004404731,0.08515639780863322,0.026001229095049136,0.5234657039711191,0.005557250129887448,0.2066877808817428,0.6545
ICO indicator premium,la_nina,real-time signal (incl. false alarms),discovery ≤2012,3,21,286,0.04061375840234692,0.016303483197495083,0.6666666666666666,0.004177659711371335,0.08219510920083792,0.011105092150872875,0.548951048951049,0.0013110003111239535,0.09425366263320312,0.17825
ICO indicator premium,la_nina,real-time signal (incl. false alarms),discovery ≤2012,6,21,283,0.043565420962415266,0.011295488148122423,0.5238095238095238,-0.01996220151808362,0.11161242729943745,0.030077791731969655,0.5759717314487632,0.002714561679499774,0.1377870084585005,0.66025
ICO indicator premium,la_nina,real-time signal (incl. false alarms),discovery ≤2012,12,21,277,0.012049540746597032,-0.04139315918280673,0.47619047619047616,-0.08023231183360963,0.10142764343601127,0.026001229095049136,0.5234657039711191,0.005557250129887448,0.2066877808817428,0.7725
ICO indicator premium,la_nina,real-time signal (incl. false alarms),validation 2013→,3,7,286,-0.017913581569561084,-0.02989779059182851,0.7142857142857143,-0.06823243440843386,0.03617564773724918,0.011105092150872875,0.45104895104895104,0.0013110003111239535,0.09425366263320312,0.43275
ICO indicator premium,la_nina,real-time signal (incl. false alarms),validation 2013→,6,7,283,0.014192753486204523,-0.008177624494628333,0.42857142857142855,-0.08824123403286016,0.12605853504601433,0.030077791731969655,0.5759717314487632,0.002714561679499774,0.1377870084585005,0.75775
ICO indicator premium,la_nina,real-time signal (incl. false alarms),validation 2013→,12,6,277,-0.012214895411208607,0.013746254377906553,0.3333333333333333,-0.14017522485186587,0.11574543402944866,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.67375
ICO indicator premium,la_nina,official onset (retrospective),all,3,9,286,-0.012953996857325024,-0.015909258201946663,0.5555555555555556,-0.057550447761569215,0.03311942720730839,0.011105092150872875,0.45104895104895104,0.0013110003111239535,0.09425366263320312,0.45225
ICO indicator premium,la_nina,official onset (retrospective),all,6,9,283,-0.018015548359652713,-0.014159089959988158,0.6666666666666666,-0.06259906253441072,0.023847566773964553,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.31825
ICO indicator premium,la_nina,official onset (retrospective),all,12,9,277,-0.014925631432175438,-0.06063604157833424,0.5555555555555556,-0.10925305690776249,0.08340090750197589,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.58075
ICO indicator premium,la_nina,official onset (retrospective),discovery ≤2012,3,7,286,-0.007683851178210942,0.001639083140643649,0.42857142857142855,-0.06350866845595363,0.052813139975771375,0.011105092150872875,0.45104895104895104,0.0013110003111239535,0.09425366263320312,0.6075
ICO indicator premium,la_nina,official onset (retrospective),discovery ≤2012,6,7,283,-0.018875078545472896,-0.011892816025822484,0.5714285714285714,-0.076999167137459,0.035303254827361866,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.35625
ICO indicator premium,la_nina,official onset (retrospective),discovery ≤2012,12,7,277,-0.01847403161277101,-0.06063604157833424,0.5714285714285714,-0.13329306180702893,0.113773092799203,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.603
ICO indicator premium,la_nina,official onset (retrospective),validation 2013→,3,2,286,-0.031399506734224314,-0.031399506734224314,1.0,-0.046889755266501965,-0.015909258201946663,0.011105092150872875,0.45104895104895104,0.0013110003111239535,0.09425366263320312,0.5215
ICO indicator premium,la_nina,official onset (retrospective),validation 2013→,6,2,283,-0.01500719270928208,-0.01500719270928208,1.0,-0.015855295458576002,-0.014159089959988158,0.030077791731969655,0.42402826855123676,0.002714561679499774,0.1377870084585005,0.65225
ICO indicator premium,la_nina,official onset (retrospective),validation 2013→,12,2,277,-0.002506230800090936,-0.002506230800090936,0.5,-0.06401571724590838,0.059003255645726504,0.026001229095049136,0.47653429602888087,0.005557250129887448,0.2066877808817428,0.864
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),all,3,2,25,-0.0829764601791193,-0.0829764601791193,1.0,-0.10580795247994208,-0.06014496787829654,0.07056733882786498,0.24,0.02343689878523286,0.14223577112851668,0.04975
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),all,6,1,22,0.028307206474365076,0.028307206474365076,1.0,0.028307206474365076,0.028307206474365076,0.1628972186100406,0.8636363636363636,0.07201287125451016,0.22723960348257125,0.4955
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),all,12,1,16,-0.3297449112775205,-0.3297449112775205,1.0,-0.3297449112775205,-0.3297449112775205,0.31674174478228634,0.0625,0.23293523357257456,0.26674652085718226,0.0
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),discovery ≤2012,3,0,25,,,,,,,,,,
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),discovery ≤2012,6,0,22,,,,,,,,,,
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),discovery ≤2012,12,0,16,,,,,,,,,,
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),validation 2013→,3,2,25,-0.0829764601791193,-0.0829764601791193,1.0,-0.10580795247994208,-0.06014496787829654,0.07056733882786498,0.24,0.02343689878523286,0.14223577112851668,0.04975
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),validation 2013→,6,1,22,0.028307206474365076,0.028307206474365076,1.0,0.028307206474365076,0.028307206474365076,0.1628972186100406,0.8636363636363636,0.07201287125451016,0.22723960348257125,0.4955
VN–BR physical premium B1,el_nino,real-time signal (incl. false alarms),validation 2013→,12,1,16,-0.3297449112775205,-0.3297449112775205,1.0,-0.3297449112775205,-0.3297449112775205,0.31674174478228634,0.0625,0.23293523357257456,0.26674652085718226,0.0
VN–BR physical premium B1,el_nino,official onset (retrospective),all,3,1,25,-0.10580795247994208,-0.10580795247994208,1.0,-0.10580795247994208,-0.10580795247994208,0.07056733882786498,0.24,0.02343689878523286,0.14223577112851668,0.164
VN–BR physical premium B1,el_nino,official onset (retrospective),all,6,1,22,0.028307206474365076,0.028307206474365076,1.0,0.028307206474365076,0.028307206474365076,0.1628972186100406,0.8636363636363636,0.07201287125451016,0.22723960348257125,0.4965
VN–BR physical premium B1,el_nino,official onset (retrospective),all,12,1,16,-0.3297449112775205,-0.3297449112775205,1.0,-0.3297449112775205,-0.3297449112775205,0.31674174478228634,0.0625,0.23293523357257456,0.26674652085718226,0.0
VN–BR physical premium B1,el_nino,official onset (retrospective),discovery ≤2012,3,0,25,,,,,,,,,,
VN–BR physical premium B1,el_nino,official onset (retrospective),discovery ≤2012,6,0,22,,,,,,,,,,
VN–BR physical premium B1,el_nino,official onset (retrospective),discovery ≤2012,12,0,16,,,,,,,,,,
VN–BR physical premium B1,el_nino,official onset (retrospective),validation 2013→,3,1,25,-0.10580795247994208,-0.10580795247994208,1.0,-0.10580795247994208,-0.10580795247994208,0.07056733882786498,0.24,0.02343689878523286,0.14223577112851668,0.164
VN–BR physical premium B1,el_nino,official onset (retrospective),validation 2013→,6,1,22,0.028307206474365076,0.028307206474365076,1.0,0.028307206474365076,0.028307206474365076,0.1628972186100406,0.8636363636363636,0.07201287125451016,0.22723960348257125,0.4965
VN–BR physical premium B1,el_nino,official onset (retrospective),validation 2013→,12,1,16,-0.3297449112775205,-0.3297449112775205,1.0,-0.3297449112775205,-0.3297449112775205,0.31674174478228634,0.0625,0.23293523357257456,0.26674652085718226,0.0
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),all,3,2,25,0.045410412346563456,0.045410412346563456,0.5,-0.029959065907844806,0.12077989060097172,0.07056733882786498,0.76,0.02343689878523286,0.14223577112851668,0.74825
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),all,6,2,22,0.07321533102186548,0.07321533102186548,1.0,0.019589632245190614,0.12684102979854034,0.1628972186100406,0.8636363636363636,0.07201287125451016,0.22723960348257125,0.4825
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),all,12,1,16,0.318791538217369,0.318791538217369,1.0,0.318791538217369,0.318791538217369,0.31674174478228634,0.9375,0.23293523357257456,0.26674652085718226,1.0
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),discovery ≤2012,3,0,25,,,,,,,,,,
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),discovery ≤2012,6,0,22,,,,,,,,,,
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),discovery ≤2012,12,0,16,,,,,,,,,,
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),validation 2013→,3,2,25,0.045410412346563456,0.045410412346563456,0.5,-0.029959065907844806,0.12077989060097172,0.07056733882786498,0.76,0.02343689878523286,0.14223577112851668,0.74825
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),validation 2013→,6,2,22,0.07321533102186548,0.07321533102186548,1.0,0.019589632245190614,0.12684102979854034,0.1628972186100406,0.8636363636363636,0.07201287125451016,0.22723960348257125,0.4825
VN–BR physical premium B1,la_nina,real-time signal (incl. false alarms),validation 2013→,12,1,16,0.318791538217369,0.318791538217369,1.0,0.318791538217369,0.318791538217369,0.31674174478228634,0.9375,0.23293523357257456,0.26674652085718226,1.0
VN–BR physical premium B1,la_nina,official onset (retrospective),all,3,0,25,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),all,6,0,22,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),all,12,0,16,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),discovery ≤2012,3,0,25,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),discovery ≤2012,6,0,22,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),discovery ≤2012,12,0,16,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),validation 2013→,3,0,25,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),validation 2013→,6,0,22,,,,,,,,,,
VN–BR physical premium B1,la_nina,official onset (retrospective),validation 2013→,12,0,16,,,,,,,,,,
