month,phase,rule,value,confirmed,lead_months_vs_official_onset
1950-03,la_nina,oni_1mo_strong,-1.32,True,-2.0
1951-09,el_nino,oni_2mo,0.71,True,-3.0
1953-07,el_nino,oni_2mo,0.77,True,-3.0
1954-10,la_nina,oni_2mo,-0.83,True,5.0
1955-06,la_nina,oni_2mo,-0.76,True,-3.0
1956-10,la_nina,oni_2mo,-0.52,False,
1957-07,el_nino,oni_2mo,0.72,True,-3.0
1959-03,el_nino,oni_2mo,0.6,False,
1963-10,el_nino,oni_2mo,1.09,True,-3.0
1964-08,la_nina,oni_2mo,-0.66,True,-3.0
1965-09,el_nino,oni_2mo,1.1,True,-3.0
1968-04,la_nina,oni_2mo,-0.73,False,
1969-01,el_nino,oni_2mo,0.66,True,-3.0
1969-12,el_nino,oni_2mo,0.71,False,
1970-10,la_nina,oni_2mo,-0.72,True,-3.0
1972-09,el_nino,oni_2mo,1.0,True,-3.0
1973-08,la_nina,oni_2mo,-0.8,True,-3.0
1975-01,la_nina,oni_2mo,-0.88,True,-3.0
1976-12,el_nino,oni_2mo,0.79,True,-3.0
1978-01,el_nino,oni_2mo,0.84,True,-3.0
1980-02,el_nino,oni_2mo,0.64,False,
1981-11,la_nina,nino34_4wk,-0.6,False,
1982-06,el_nino,nino34_4wk,0.6,True,-1.0
1982-08,el_nino,nino34_4wk,0.8,True,-3.0
1983-08,la_nina,nino34_4wk,-0.6,True,2.0
1983-10,la_nina,nino34_4wk,-0.9,True,0.0
1984-08,la_nina,nino34_4wk,-0.8,True,2.0
1984-10,la_nina,nino34_4wk,-0.7,True,0.0
1985-10,la_nina,nino34_4wk,-0.8,False,
1986-01,la_nina,nino34_4wk,-0.6,False,
1986-11,el_nino,nino34_4wk,0.5,True,-2.0
1988-05,la_nina,nino34_4wk,-1.2,True,0.0
1991-07,el_nino,nino34_4wk,0.7,True,-1.0
1992-11,la_nina,nino34_4wk,-0.5,False,
1993-05,el_nino,nino34_4wk,0.6,False,
1994-10,el_nino,nino34_4wk,0.6,True,0.0
1995-08,la_nina,nino34_4wk,-0.7,True,0.0
1996-10,la_nina,nino34_4wk,-0.6,False,
1997-01,la_nina,nino34_4wk,-0.8,False,
1997-06,el_nino,nino34_4wk,0.9,True,-1.0
1998-06,la_nina,nino34_4wk,-1.0,True,1.0
2000-10,la_nina,nino34_4wk,-1.0,True,0.0
2001-12,la_nina,nino34_4wk,-0.6,False,
2002-06,el_nino,nino34_4wk,0.5,True,1.0
2003-05,la_nina,nino34_4wk,-0.6,False,
2004-08,el_nino,nino34_4wk,0.7,True,0.0
2004-11,el_nino,nino34_4wk,0.6,True,-3.0
2005-12,la_nina,nino34_4wk,-0.8,True,-1.0
2006-09,el_nino,nino34_4wk,0.5,True,0.0
2006-11,el_nino,nino34_4wk,0.7,True,-2.0
2007-08,la_nina,nino34_4wk,-0.6,True,0.0
2008-12,la_nina,nino34_4wk,-0.8,True,-1.0
2009-07,el_nino,nino34_4wk,0.6,True,0.0
2010-06,la_nina,nino34_4wk,-0.7,True,0.0
2011-09,la_nina,nino34_4wk,-0.8,True,-1.0
2012-08,el_nino,nino34_4wk,0.5,False,
2014-06,el_nino,nino34_4wk,0.6,True,4.0
2014-11,el_nino,nino34_4wk,0.9,True,-1.0
2016-08,la_nina,nino34_4wk,-0.5,False,
2016-10,la_nina,nino34_4wk,-0.8,False,
2017-11,la_nina,nino34_4wk,-1.0,True,0.0
2018-10,el_nino,nino34_4wk,0.7,True,-1.0
2020-01,el_nino,nino34_4wk,0.5,True,-3.0
2020-08,la_nina,nino34_4wk,-0.5,True,1.0
2021-10,la_nina,nino34_4wk,-1.1,True,-1.0
2023-06,el_nino,nino34_4wk,1.0,True,0.0
2025-01,la_nina,nino34_4wk,-0.7,False,
2025-11,la_nina,nino34_4wk,-0.7,False,
2026-05,el_nino,nino34_4wk,0.8,False,
