regime,lag,n,r,p_bartlett
el_nino,0,6,,
el_nino,1,7,,
el_nino,2,8,,
el_nino,3,9,,
el_nino,4,9,,
el_nino,5,10,,
el_nino,6,11,,
el_nino,7,11,,
el_nino,8,11,,
el_nino,9,11,,
el_nino,10,11,,
el_nino,11,11,,
el_nino,12,11,,
el_nino,13,11,,
el_nino,14,11,,
el_nino,15,11,,
el_nino,16,11,,
el_nino,17,11,,
el_nino,18,11,,
el_nino,19,11,,
el_nino,20,11,,
el_nino,21,11,,
el_nino,22,11,,
el_nino,23,11,,
el_nino,24,11,,
la_nina,0,0,,
la_nina,1,0,,
la_nina,2,0,,
la_nina,3,0,,
la_nina,4,0,,
la_nina,5,0,,
la_nina,6,0,,
la_nina,7,0,,
la_nina,8,1,,
la_nina,9,1,,
la_nina,10,1,,
la_nina,11,2,,
la_nina,12,3,,
la_nina,13,4,,
la_nina,14,5,,
la_nina,15,6,,
la_nina,16,7,,
la_nina,17,8,,
la_nina,18,9,,
la_nina,19,10,,
la_nina,20,11,,
la_nina,21,12,,
la_nina,22,13,,
la_nina,23,14,,
la_nina,24,15,,
neutral,0,26,-0.5868410810531931,0.07837512770386179
neutral,1,26,-0.6379565322124516,0.043466985836676075
neutral,2,26,-0.5160768201528311,0.11963552517991571
neutral,3,25,-0.28611221415774113,0.39586870615297487
neutral,4,25,-0.04645256447489671,0.8996199530061304
neutral,5,24,0.3328850780137046,0.36452243644995286
neutral,6,23,0.6829351571808101,0.022598476037950066
neutral,7,23,0.7968859789176077,0.002504206966007061
neutral,8,22,0.6442636817154039,0.037405885195605615
neutral,9,22,0.209436061119478,0.4063205662731759
neutral,10,22,-0.24685694988947487,0.3626935299453855
neutral,11,21,-0.3150534750211808,0.35201657523487606
neutral,12,20,-0.1867250737060016,0.6500118762430118
neutral,13,19,,
neutral,14,18,,
neutral,15,17,,
neutral,16,16,,
neutral,17,15,,
neutral,18,14,,
neutral,19,13,,
neutral,20,12,,
neutral,21,11,,
neutral,22,10,,
neutral,23,9,,
neutral,24,8,,
