lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh,market
0,184,143.4,0.016977086987150676,-0.002259636685866194,0.8405648093809079,-0.1473632814468544,0.18040525654385242,0.853,0.17029560240849134,0.9827181805597417,us
1,184,134.1,0.004394220214823445,0.053984704590549215,0.959874205683179,-0.16526425891643987,0.1738001046305648,0.96,0.168388068367419,0.9827181805597417,us
2,184,128.4,0.07486173709928354,0.09301689429985935,0.4008773436484492,-0.09965929151624112,0.24491426826819374,0.363,0.17410136246750135,0.5895255053653665,us
3,184,129.6,0.24062251022950512,0.2732831191847585,0.005750644741297828,0.07112565196132115,0.39661328470686297,0.002,0.16766910036510224,0.02053801693320653,us
4,184,131.6,0.24344198575812376,0.2520371404904548,0.004839885701474644,0.0754653918743064,0.3979831754652895,0.002,0.1631420070976422,0.02053801693320653,us
5,184,135.7,0.3187911069528347,0.318668490300707,0.0001419198158731927,0.15879473820509757,0.46247236170371203,0.0,0.16648622831790408,0.0035479953968298172,us
6,184,139.3,0.3001890189153563,0.31559785016663133,0.0002996277778901657,0.1408832361105179,0.4443420069752482,0.0,0.1707159092240129,0.0037453472236270713,us
7,184,137.5,0.27081790580018444,0.32056789505114525,0.0012764932197397716,0.10832031110063092,0.419220162569448,0.001,0.1685264827230459,0.01063744349783143,us
8,184,135.6,0.2589558747290634,0.2665388838589124,0.002273626482871105,0.09452650079186371,0.40963142721917245,0.004,0.17179159754593884,0.014210165517944406,us
9,184,135.9,0.18691066149850633,0.2324825181560748,0.029226537013135045,0.0191171456840548,0.3444639318039532,0.033,0.17351334930076767,0.07306634253283761,us
10,184,135.0,0.14490933422635296,0.12836585694746777,0.09358027952921266,-0.024642015946836873,0.30635711373150787,0.103,0.1685123511905223,0.19495891568585969,us
11,184,132.9,0.19207499561262517,0.20438635356668142,0.026630870046259636,0.022533196790115548,0.35087785705153157,0.032,0.17946720530548618,0.07306634253283761,us
12,184,125.8,0.21957767857854116,0.1872204349752461,0.013368565321976611,0.04632705686424065,0.3800041152901193,0.008,0.165185566083203,0.04177676663117691,us
13,184,123.5,0.24744007218932404,0.253175627516326,0.005536491232606799,0.07401434203241779,0.4063388859944889,0.002,0.1665794255725607,0.02053801693320653,us
14,184,123.2,0.09978322818649508,0.0753944250736838,0.27236458731264035,-0.07849561590365904,0.27187763871794285,0.263,0.1821627921804581,0.4863653344868578,us
15,184,121.9,0.08751397131591349,0.13795149390302633,0.3387048250737066,-0.09174816991500691,0.26128191144272606,0.32,0.16933952053765786,0.564508041789511,us
16,184,122.8,0.04244668302691305,0.030344243031342102,0.6419892995744476,-0.1357385204089838,0.21797196837934593,0.639,0.16906677850688404,0.8839577280194632,us
17,184,118.7,0.158303001121674,0.1538883858912369,0.08598312977127165,-0.02259244345286301,0.3291614164826972,0.081,0.1809828296606659,0.19495891568585969,us
18,184,121.7,0.0019885861138985365,-0.00829881913274643,0.9827181805597416,-0.17609249665897053,0.17994363010252357,0.985,0.17338905833292256,0.9827181805597417,us
19,184,124.9,-0.038355329305548205,-0.0380767082121323,0.6718078732947921,-0.21260975576912072,0.13826346928725344,0.662,0.1674668186183171,0.8839577280194632,us
20,184,125.8,-0.004517183391773243,-0.04699774614243609,0.9600692875706236,-0.17939387007002,0.17063623383968424,0.96,0.1679486069145947,0.9827181805597417,us
21,184,127.9,-0.0032384817995959147,0.003796883126890254,0.9711313506728241,-0.17675762966844286,0.1704759017526066,0.963,0.17575250616344504,0.9827181805597417,us
22,184,128.0,0.0752752853057826,0.035426017607058234,0.39915999839060534,-0.09957449801408516,0.245615524627105,0.384,0.17221789319036063,0.5895255053653665,us
23,184,130.5,0.002394078080257751,-0.03970449423050991,0.9784365339192844,-0.16955801022357242,0.1742047081343563,0.968,0.171786756185771,0.9827181805597417,us
24,184,130.3,-0.11019831640316698,-0.11815414844637936,0.21191591966310463,-0.2769516668325064,0.06299859402466719,0.169,0.16377878308676108,0.4075306147367396,us
0,184,218.2,0.03487680531587122,0.08240064726165937,0.6087848755010299,-0.0984063933628729,0.1669308048409539,0.607,0.1253524594472099,0.93927031579384,us_sefp02
1,184,219.4,0.00855223541923288,-0.011485041705996802,0.8998730657173102,-0.1240321293972786,0.14083658577386765,0.915,0.12342139160058888,0.93927031579384,us_sefp02
2,184,223.9,0.054604853648895654,0.037743445512511804,0.4166005365469192,-0.07706959819367303,0.18440714962740842,0.387,0.12865959038219518,0.8679177844727484,us_sefp02
3,184,221.5,-0.008747485287275487,-0.0012309529772109957,0.8971116092283005,-0.14040531954154412,0.12321432645755606,0.893,0.12519713002232832,0.93927031579384,us_sefp02
4,184,219.5,-0.018688920915842077,-0.016304829419583517,0.7833084407786304,-0.15074505552485018,0.1140225026144909,0.77,0.12208898888181229,0.93927031579384,us_sefp02
5,184,213.1,0.06644141224165723,0.10985918206160544,0.3347587468226991,-0.06856012986662109,0.19905342771354842,0.29,0.12082622226804489,0.8368968670567478,us_sefp02
6,184,217.9,0.0908606919672074,0.06660630694843096,0.18162362147809552,-0.042552341620465894,0.2210901597411586,0.179,0.13053401199002465,0.5882931567203611,us_sefp02
7,184,216.8,-0.08974148645759498,-0.0705457417503034,0.18825381015051557,-0.22035182118486266,0.04403022942651878,0.195,0.12458000914158793,0.5882931567203611,us_sefp02
8,184,219.3,0.06624481776649069,0.09214039413611758,0.32918434246684924,-0.06681907675486547,0.1969935069205548,0.307,0.13071831402205333,0.8368968670567478,us_sefp02
9,184,218.6,0.1618186511971276,0.1461597734584192,0.016516765618401763,0.029770426900799805,0.2883155746441921,0.019,0.12511208585695122,0.3543871368177631,us_sefp02
10,184,217.5,-0.10276083838264756,-0.0803317216004315,0.13099799411329638,-0.23262844981328787,0.030707133587274393,0.101,0.1257301830729066,0.5882931567203611,us_sefp02
11,184,213.2,0.02120110529788338,0.008761148889445397,0.7585372277419455,-0.11350323234917678,0.15514007146435593,0.798,0.13155274608575365,0.93927031579384,us_sefp02
