lag,beta,p,cumulative
0,0.006181321358992188,0.5240895643003833,0.006181321358992188
1,-0.010748466530386417,0.42281848591632565,-0.004567145171394229
2,-0.004373241282437116,0.678326270282532,-0.008940386453831346
3,0.027245719507800685,0.019944706177487594,0.01830533305396934
4,0.01733250988959946,0.1872518035533215,0.035637842943568795
5,0.04775135352581273,1.5726278946101116e-06,0.08338919646938153
6,0.03523609344733776,0.0034340414369579673,0.11862528991671929
7,0.03286746050995232,0.010265517849016956,0.1514927504266716
8,0.03726591181662148,0.019414444866085564,0.18875866224329307
9,0.027962754736590368,0.0702731486864655,0.21672141697988345
10,0.017400866295882566,0.1165286546986498,0.234122283275766
11,0.015596479720647462,0.29134270437902976,0.24971876299641346
12,0.018399074772198508,0.10293995906042545,0.268117837768612
