lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh
0,184,143.4,0.016977086987150676,-0.002259636685866194,0.8405648093809079,-0.1473632814468544,0.18040525654385242,0.8465,0.17029560240849134,0.9827181805597417
1,184,134.1,0.004394220214823445,0.053984704590549215,0.959874205683179,-0.16526425891643987,0.1738001046305648,0.957,0.1659398556410729,0.9827181805597417
2,184,128.4,0.07486173709928354,0.09301689429985935,0.4008773436484492,-0.09965929151624112,0.24491426826819374,0.3785,0.168756749625157,0.5895255053653665
3,184,129.6,0.24062251022950512,0.2732831191847585,0.005750644741297828,0.07112565196132115,0.39661328470686297,0.0025,0.16874661419027603,0.02053801693320653
4,184,131.6,0.24344198575812376,0.2520371404904548,0.004839885701474644,0.0754653918743064,0.3979831754652895,0.002,0.1697008145525791,0.02053801693320653
5,184,135.7,0.3187911069528347,0.318668490300707,0.0001419198158731927,0.15879473820509757,0.46247236170371203,0.0,0.17002929532311087,0.0035479953968298172
6,184,139.3,0.3001890189153563,0.31559785016663133,0.0002996277778901657,0.1408832361105179,0.4443420069752482,0.0,0.16969187310508174,0.0037453472236270713
7,184,137.5,0.27081790580018444,0.32056789505114525,0.0012764932197397716,0.10832031110063092,0.419220162569448,0.001,0.16937251421178304,0.01063744349783143
8,184,135.6,0.2589558747290634,0.2665388838589124,0.002273626482871105,0.09452650079186371,0.40963142721917245,0.003,0.1676787300325799,0.014210165517944406
9,184,135.9,0.18691066149850633,0.2324825181560748,0.029226537013135045,0.0191171456840548,0.3444639318039532,0.038,0.17580516672637603,0.07306634253283761
10,184,135.0,0.14490933422635296,0.12836585694746777,0.09358027952921266,-0.024642015946836873,0.30635711373150787,0.1015,0.17256671936763568,0.19495891568585969
11,184,132.9,0.19207499561262517,0.20438635356668142,0.026630870046259636,0.022533196790115548,0.35087785705153157,0.033,0.18046203719975012,0.07306634253283761
12,184,125.8,0.21957767857854116,0.1872204349752461,0.013368565321976611,0.04632705686424065,0.3800041152901193,0.011,0.1698280361994572,0.04177676663117691
13,184,123.5,0.24744007218932404,0.253175627516326,0.005536491232606799,0.07401434203241779,0.4063388859944889,0.005,0.16906836920933146,0.02053801693320653
14,184,123.2,0.09978322818649508,0.0753944250736838,0.27236458731264035,-0.07849561590365904,0.27187763871794285,0.269,0.17518209261977274,0.4863653344868578
15,184,121.9,0.08751397131591349,0.13795149390302633,0.3387048250737066,-0.09174816991500691,0.26128191144272606,0.3245,0.16994168559496003,0.564508041789511
16,184,122.8,0.04244668302691305,0.030344243031342102,0.6419892995744476,-0.1357385204089838,0.21797196837934593,0.63,0.16906677850688404,0.8839577280194632
17,184,118.7,0.158303001121674,0.1538883858912369,0.08598312977127165,-0.02259244345286301,0.3291614164826972,0.0745,0.17462878775093654,0.19495891568585969
18,184,121.7,0.0019885861138985365,-0.00829881913274643,0.9827181805597416,-0.17609249665897053,0.17994363010252357,0.9805,0.1716769045705572,0.9827181805597417
19,184,124.9,-0.038355329305548205,-0.0380767082121323,0.6718078732947921,-0.21260975576912072,0.13826346928725344,0.6505,0.1684855255452742,0.8839577280194632
20,184,125.8,-0.004517183391773243,-0.04699774614243609,0.9600692875706236,-0.17939387007002,0.17063623383968424,0.9585,0.16651763755335672,0.9827181805597417
21,184,127.9,-0.0032384817995959147,0.003796883126890254,0.9711313506728241,-0.17675762966844286,0.1704759017526066,0.9665,0.172322681932562,0.9827181805597417
22,184,128.0,0.0752752853057826,0.035426017607058234,0.39915999839060534,-0.09957449801408516,0.245615524627105,0.393,0.17243287496297463,0.5895255053653665
23,184,130.5,0.002394078080257751,-0.03970449423050991,0.9784365339192844,-0.16955801022357242,0.1742047081343563,0.9745,0.172596655623335,0.9827181805597417
24,184,130.3,-0.11019831640316698,-0.11815414844637936,0.21191591966310463,-0.2769516668325064,0.06299859402466719,0.1945,0.16678876920848337,0.4075306147367396
