,green_arabica,green_robusta,green_blend,green_usd_per_kg_roasted,retail_us_coffee,retail_us,retail_brazil,retail_eu,us_cpi_all_items
2010-01,3500.0,1540.0,2912.0,3.466666666666667,,,,,
2010-02,3480.0,1500.0,2886.0,3.435714285714286,,,,,
2010-03,3630.0,1480.0,2985.0,3.5535714285714284,,,,,
2010-04,3730.0,1580.0,3085.0,3.672619047619048,,,,,
2010-05,3820.0,1560.0,3142.0,3.7404761904761905,,,,,
2010-06,4210.0,1700.0,3457.0,4.1154761904761905,,,,,
2010-07,4480.0,1880.0,3700.0,4.404761904761905,,,,,
2010-08,4660.0,1820.0,3808.0,4.533333333333333,,,,,
2010-09,4910.0,1790.0,3974.0,4.730952380952381,,,,,
2010-10,4800.0,1880.0,3924.0,4.671428571428572,,,,,
2010-11,5150.0,2030.0,4214.0,5.0166666666666675,,,,,
2010-12,5470.0,2070.0,4450.0,5.297619047619048,,,,,
2011-01,5820.0,2230.0,4743.0,5.646428571428572,193.825,124.288,5616927.034,,
2011-02,6350.0,2410.0,5168.0,6.152380952380953,194.494,125.365,5629845.9662,,
2011-03,6440.0,2600.0,5288.0,6.295238095238096,201.2,125.172,5672069.8109,,
2011-04,6620.0,2590.0,5411.0,6.441666666666666,209.01,125.115,5704967.8158,,
2011-05,6420.0,2690.0,5301.0,6.310714285714286,212.938,126.068,5740909.113,,
2011-06,6060.0,2600.0,5022.0,5.978571428571429,217.118,126.144,5725982.7494,,
2011-07,5910.0,2490.0,4884.0,5.814285714285715,221.841,125.081,5706514.408,,
2011-08,5960.0,2470.0,4913.0,5.848809523809524,223.444,125.36,5747601.3117,,
2011-09,6060.0,2340.0,4944.0,5.885714285714286,221.485,125.913,5784385.9601,,
2011-10,5460.0,2160.0,4470.0,5.321428571428571,222.399,125.368,5816778.5215,,
2011-11,5400.0,2140.0,4422.0,5.264285714285714,224.707,125.832,5879599.7295,,
2011-12,5220.0,2170.0,4305.0,5.125,223.709,126.803,5951918.8062,,
2012-01,5230.0,2130.0,4300.0,5.119047619047619,223.284,126.364,6003105.308,,
2012-02,4940.0,2250.0,4133.0,4.920238095238095,221.591,126.446,6014511.208,,
2012-03,4440.0,2280.0,3792.0,4.514285714285714,220.653,125.388,6029547.4861,,
2012-04,4220.0,2240.0,3626.0,4.316666666666666,220.758,127.003,6060298.1782,,
2012-05,4070.000000000001,2360.0,3557.0000000000005,4.23452380952381,218.626,124.298,6104538.3549,,
2012-06,3720.0,2330.0,3303.0,3.9321428571428574,216.898,126.763,6146049.2158,,
2012-07,4200.0,2360.0,3648.0,4.342857142857143,215.79,125.797,6201978.2636,,
2012-08,3850.0,2350.0,3400.0,4.0476190476190474,215.396,126.374,6256555.6723,,
2012-09,3950.0,2310.0,3458.0,4.116666666666667,214.924,126.466,6335388.2738,,
2012-10,3820.0,2300.0,3364.0,4.004761904761905,213.988,126.374,6421549.5543,,
2012-11,3530.0,2150.0,3116.0,3.7095238095238097,213.159,125.691,6472279.7958,,
2012-12,3370.0,2130.0,2998.0,3.5690476190476192,213.91,126.541,6538944.2777,,
2013-01,3470.0,2200.0,3089.0,3.6773809523809526,212.082,127.677,6669069.2688,,
2013-02,3300.0,2290.0,2997.0,3.567857142857143,212.289,127.377,6765770.7732,,
2013-03,3300.0,2340.0,3012.0,3.585714285714286,209.945,127.519,6842900.56,,
2013-04,3300.0,2240.0,2982.0,3.5500000000000003,206.505,128.203,6908592.4054,,
2013-05,3240.0,2190.0,2925.0,3.482142857142857,206.163,127.129,6930009.0419,,
2013-06,3050.0,2000.0,2735.0,3.255952380952381,205.128,126.935,6932781.0455,,
2013-07,3050.0,2100.0,2765.0,3.291666666666667,205.044,127.036,6909902.868,,
2013-08,2980.0,2070.0,2707.0,3.2226190476190477,200.821,127.133,6910593.8583,,
2013-09,2920.0,1940.0,2626.0,3.126190476190476,200.266,127.73,6920268.6897,,
2013-10,2840.0,1850.0,2543.0,3.0273809523809527,200.216,129.212,6991547.4572,,
2013-11,2690.0,1760.0,2411.0,2.8702380952380953,200.068,127.349,7030700.123,,
2013-12,2780.0,1940.0,2528.0,3.0095238095238095,197.828,127.355,7093273.3541,,
2014-01,2930.0,1930.0,2630.0,3.130952380952381,196.557,128.786,7152856.8503,,
2014-02,3830.0,2110.0,3314.0,3.9452380952380954,195.805,128.016,7192912.8486,,
2014-03,4720.0,2320.0,4000.0,4.761904761904762,197.648,127.881,7331016.7753,,
2014-04,4930.0,2330.0,4150.0,4.940476190476191,197.192,129.106,7418255.8749,,
2014-05,4720.0,2270.0,3985.0,4.7440476190476195,197.848,128.762,7461281.759,,
2014-06,4360.0,2180.0,3706.0,4.411904761904762,199.389,127.524,7453074.3491,,
2014-07,4340.0,2240.0,3710.0,4.416666666666667,201.143,128.155,7441894.7376,,
2014-08,4700.0,2210.0,3953.0,4.705952380952381,204.418,127.021,7430731.8955,,
2014-09,4640.0,2220.0,3914.0,4.65952380952381,205.056,127.953,7488691.6042,,
2014-10,4970.0,2310.0,4172.0,4.966666666666667,204.966,128.489,7523139.5856,,
2014-11,4620.0,2270.0,3915.0,4.660714285714286,206.215,129.195,7581067.7604,,
2014-12,4340.0,2200.0,3698.0,4.402380952380953,205.744,128.569,7662943.2922,,
2015-01,4190.0,2160.0,3581.0,4.2630952380952385,208.35,128.175,7776354.853,,
2015-02,3940.0,2170.0,3409.0,4.058333333333334,207.385,130.003,7839343.3273,,
2015-03,3540.0,2030.0,3087.0,3.6750000000000003,206.93,128.157,7931063.6442,,
2015-04,3620.0,2030.0,3143.0,3.7416666666666667,208.786,127.463,8007994.9616,,
2015-05,3490.0,1930.0,3022.0,3.5976190476190477,206.467,125.558,8117704.4925,,
